group,code,label,parent,valence,arousal,description,visual_hint,avoid_visual
PRIMARY_EMOTION,JOY,기쁨,,POSITIVE,MEDIUM_HIGH,즐거움·뿌듯함·안도·감사·설렘,,
PRIMARY_EMOTION,SADNESS,슬픔,,NEGATIVE,LOW,속상함·외로움·실망·허전함,,
PRIMARY_EMOTION,ANGER,분노,,NEGATIVE,HIGH,화남·억울함·답답함·짜증,,
PRIMARY_EMOTION,ANXIETY,불안,,NEGATIVE,MEDIUM_HIGH,걱정·긴장·압박·불확실함,,
STATE,PRIDE,뿌듯함,JOY,CONTEXTUAL,HIGH,세부 정서·상태,작은 배지·열린 자세·금빛,
STATE,RELIEF,안도감,JOY,CONTEXTUAL,LOW_MEDIUM,세부 정서·상태,비 갠 빛·어깨가 풀린 자세,
STATE,EXCITEMENT,설렘,JOY,CONTEXTUAL,HIGH,세부 정서·상태,넓은 하늘·역동적 움직임,
STATE,GRATITUDE,감사,JOY,CONTEXTUAL,MEDIUM,세부 정서·상태,꽃잎·부드러운 미소,
STATE,SATISFACTION,만족감,JOY,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,AFFECTION,애정,JOY,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,HOPE,희망,JOY,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,PLAYFULNESS,신남,JOY,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,LONELINESS,외로움,SADNESS,CONTEXTUAL,LOW,세부 정서·상태,따뜻한 등불·넓은 여백,
STATE,DISAPPOINTMENT,실망,SADNESS,CONTEXTUAL,LOW_MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,EMPTINESS,허전함,SADNESS,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,HURT,상처,SADNESS,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,GRIEF,상실감,SADNESS,CONTEXTUAL,LOW,세부 정서·상태,사진·꽃·작은 빛,폭력·공포·절망 과장 금지
STATE,HOMESICKNESS,그리움,SADNESS,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,REGRET,후회,SADNESS,CONTEXTUAL,LOW_MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,HELPLESSNESS,무력감,SADNESS,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,폭력·공포·절망 과장 금지
STATE,FRUSTRATION,답답함,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,붉은 노을·손을 천천히 펴는 자세,폭력·공포·절망 과장 금지
STATE,INJUSTICE,억울함,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,IRRITATION,짜증,ANGER,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,BETRAYAL,배신감,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,RESENTMENT,서운한 분노,ANGER,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,IMPATIENCE,조급함,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,OVERLOAD,과부하,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,DISRESPECT,무시당함,ANGER,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,WORRY,걱정,ANXIETY,CONTEXTUAL,MEDIUM,세부 정서·상태,안개·창가·작은 등불,폭력·공포·절망 과장 금지
STATE,PRESSURE,압박감,ANXIETY,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,UNCERTAINTY,불확실함,ANXIETY,CONTEXTUAL,MEDIUM,세부 정서·상태,갈림길·멀리 보이는 빛,
STATE,NERVOUSNESS,긴장,ANXIETY,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,OVERTHINKING,생각이 많음,ANXIETY,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,FEAR_OF_FAILURE,실패 걱정,ANXIETY,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,SOCIAL_TENSION,관계 긴장,ANXIETY,CONTEXTUAL,MEDIUM_HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,URGENCY,초조함,ANXIETY,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,FATIGUE,지침,COMMON,CONTEXTUAL,LOW,세부 정서·상태,담요·낮은 조명,
STATE,CALMNESS,평온,COMMON,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,CONFUSION,혼란,COMMON,CONTEXTUAL,MEDIUM,세부 정서·상태,안개·중성 팔레트,
STATE,BOREDOM,지루함,COMMON,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,OVERWHELM,벅참,COMMON,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,NUMBNESS,무감각,COMMON,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
STATE,FOCUS,몰입,COMMON,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,CURIOSITY,호기심,COMMON,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,MOTIVATION,의욕,COMMON,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,RESTLESSNESS,마음이 들뜸,COMMON,CONTEXTUAL,HIGH,세부 정서·상태,사건·필요와 함께 장면화,
STATE,SHAME,부끄러움,COMMON,CONTEXTUAL,MEDIUM,세부 정서·상태,사건·필요와 함께 장면화,
STATE,RELAXED,느긋함,COMMON,CONTEXTUAL,LOW,세부 정서·상태,사건·필요와 함께 장면화,
ENERGY,ENG_ENERGETIC,힘차게 달렸어,,HIGH,FAST,에너지와 리듬,,
ENERGY,ENG_STEADY,적당한 속도로 흘러갔어,,MEDIUM,STEADY,에너지와 리듬,,
ENERGY,ENG_HEAVY,조금 버거웠어,,LOW,SLOW,에너지와 리듬,,
ENERGY,ENG_STOP_REST,멈춰 쉬고 싶었어,,EXHAUSTED,STOPPED,에너지와 리듬,,
ENERGY,ENG_RUSHED,정신없이 지나갔어,,MEDIUM_HIGH,RUSHED,에너지와 리듬,,
ENERGY,ENG_SLOW_FINISH,느리지만 끝까지 갔어,,LOW_MEDIUM,PERSISTENT,에너지와 리듬,,
NEED,NEED_REST,휴식,,,,현재 필요한 방향,,
NEED,NEED_COMFORT,위로,,,,현재 필요한 방향,,
NEED,NEED_LISTENING,들어주기,,,,현재 필요한 방향,,
NEED,NEED_ORGANIZE,생각 정리,,,,현재 필요한 방향,,
NEED,NEED_ENCOURAGEMENT,응원,,,,현재 필요한 방향,,
NEED,NEED_REFRESH,기분 전환,,,,현재 필요한 방향,,
NEED,NEED_SAVORING,좋은 기분 간직하기,,,,현재 필요한 방향,,
NEED,NEED_SOLITUDE,혼자만의 시간,,,,현재 필요한 방향,,
NEED,NEED_PRACTICAL,현실적인 방법,,,,현재 필요한 방향,,
NEED,NEED_CONNECTION,누군가와 연결되기,,,,현재 필요한 방향,,
EMOTION_CAUSE_TYPE,WEATHER,날씨,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,WORK_STUDY,일·공부,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,RELATIONSHIP,관계,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,FAMILY,가족,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,HEALTH,건강,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,FINANCE,재정,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,DAILY_LIFE,일상,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,SELF_EVALUATION,자기평가,,,,EMOTION_CAUSE_TYPE 운영 코드,,
EMOTION_CAUSE_TYPE,UNEXPECTED,예상 밖 사건,,,,EMOTION_CAUSE_TYPE 운영 코드,,
